"Neighborhood","Venue Category","Venue","Neighborhood_Latitude","Neighborhood_Longitude","id","location.city","location.state","categories_name","categories_pluralName","location_crossStreet","location_formattedAddress","location_postalCode","location_address"
"Ashoka Park Extn.","Health & Beauty","Diet Clinic Punjabibagh",28.66478727,77.12954476,"54fabc1f498e3692ae55c4f1","New Delhi","Delhi","Health & Beauty Service","Health & Beauty Services","Club Road","6LGF, A15, Geeta Bhawan, (Club Road)",110026,"6LGF, A15, Geeta Bhawan,"
"Dr.Mukerjee Nagar","Nutritionist","Diet Clinic Gujranwala Town North Delhi",28.6979011,77.19337153,"5806fcca38fae41af3c912eb","New Delhi","Delhi","Nutritionist","Nutritionists","Lala Achintaram Marg","224, Gujranwala Town, part 3 (Lala Achintaram Marg)",110009,"224, Gujranwala Town, part 3"
"HUDA Market","Gym","Anytime Fitness, Faridabad",28.40951334,77.32037145,"5630b1a7498ec85e7077ffed","New Delhi","Delhi","Gym","Gyms","HUDA Market","Sector 16 (HUDA Market)","null","Sector 16"
"New Delhi","Gym / Fitness","RDX Gym & Spa",28.71464528,77.14519926,"51d8359f498e44075bf5b2de","New Delhi","Delhi","Gym / Fitness Center","Gyms or Fitness Centers","null","India","null","null"
"Baroda House","South Indian","HOTEL SARAVANA BHAVAN",28.63231947,77.21644532,"519ba450498eb0c559152d94","New Delhi","Delhi","South Indian Restaurant","South Indian Restaurants","null","P-13/90, Connaught Circus",110001,"P-13/90, Connaught Circus"
"New Delhi","Vegetarian / Vegan","Mame Da Dhaba",28.48985544,77.09479965,"4f28166ee4b015cb4e761e80","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","India","null","null"
"New Delhi","Vegetarian / Vegan","Kake ka Dhaba",28.71993,77.17416,"4fe607bbe4b079b38117e679","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","India","null","null"
"Amberhai","Vegetarian / Vegan","Pind balluchi",28.64785914,77.12031676,"53d4d18a498e55e1fb6cf91c","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","Sector 6",110075,"Sector 6"
"New Delhi","Vegetarian / Vegan","Tulsi Pure Veg",28.72414207,77.11432648,"52347790498e6984e669a6d5","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","India","null","null"
"New Delhi","Vegetarian / Vegan","Tadak Punjabi",28.64143181,77.18503571,"4f7417d2e4b0ab2908151698","New Delhi","Delhi","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","null","India","null","null"
